State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.91507	2.94977	3.01224	2.97059	3.11635	2.97754	3.06082	3.19964	3.43562	3.49114	3.47032	3.51196	3.46338	3.42868	3.26904	3.26904	3.34539	3.26210	3.25516	3.24822	3.04694
2	6.27915	6.25712	6.45541	6.36728	6.32322	6.45541	5.90461	5.88258	5.11145	4.58268	4.20813	4.07594	3.72343	3.65733	3.83359	3.54717	3.59124	3.83359	3.78952	3.65733	4.16407
3	5.13628	5.38785	5.19917	5.05242	4.73796	4.71699	4.54928	4.00420	3.60588	3.29141	2.97695	2.72537	2.49477	2.32705	2.47380	2.87212	2.87212	2.66248	2.47380	2.62055	2.57862
4	3.85548	3.59141	3.53859	3.52539	3.41316	3.53859	3.52539	3.31413	3.11607	3.22831	3.39995	3.36694	3.18869	3.29432	3.41316	3.50558	3.65743	3.40656	3.53859	3.52539	3.28112
5	5.00539	5.07372	4.94560	4.72352	4.67227	4.36477	4.15977	4.05727	3.89498	3.56186	3.33123	3.39102	3.81811	3.77540	3.70706	3.63019	3.57040	3.68144	3.50207	3.53623	3.64727
6	3.91920	3.83921	3.65259	3.65259	3.43930	3.27933	3.13269	2.93273	2.86608	2.67945	2.54615	2.22621	2.06624	2.09290	2.10624	2.05291	2.34619	2.42617	2.33286	2.18622	2.15956
7	0.61113	0.58723	0.57585	0.55650	0.56333	0.55650	0.54512	0.54512	0.55536	0.55992	0.54740	0.55650	0.52691	0.49732	0.49505	0.48594	0.47343	0.48594	0.49505	0.50074	0.50643
8	2.10378	2.12081	2.12365	2.15275	2.15381	2.16836	2.17794	2.19817	2.23472	2.27942	2.33265	2.36139	2.38268	2.40645	2.41674	2.43768	2.43413	2.42136	2.41710	2.40503	2.39226
9	6.41604	6.38360	6.39043	6.32384	6.30848	6.22994	6.19921	6.07287	5.83385	5.55897	5.24312	4.93581	4.69849	4.44752	4.20508	3.94386	3.75948	3.58362	3.44192	3.32070	3.22509
10	4.85131	4.85131	4.96413	5.30259	4.79490	4.40002	3.66668	3.27181	2.65130	1.97437	1.52308	1.18462	1.29744	1.07180	1.35385	1.35385	1.35385	1.07180	0.95898	1.12821	1.24103
11	1.08899	1.07884	1.08561	1.08674	1.08787	1.09012	1.10367	1.12849	1.13413	1.13075	1.13865	1.15445	1.16122	1.16799	1.17589	1.20184	1.20410	1.21313	1.20410	1.21764	1.20862
12	0.61864	0.61864	0.61892	0.61666	0.61813	0.62057	0.61859	0.62007	0.62282	0.63174	0.64287	0.64365	0.64668	0.64921	0.65367	0.65629	0.66218	0.66779	0.67307	0.67689	0.68218
13	0.52559	0.52411	0.52855	0.61442	0.59517	0.56260	0.69141	0.71362	0.70473	0.64699	0.43232	0.51523	0.53891	0.57889	0.57149	0.59517	0.55520	0.55668	0.54040	0.55224	0.55964
14	2.11409	1.87248	2.01342	2.07382	2.14429	2.19463	2.23489	2.17449	2.43624	2.15436	2.01342	2.42617	2.45637	2.50671	2.61744	2.48657	2.36577	2.39597	2.35570	2.31543	2.31543
15	2.24294	2.34528	2.33462	2.32822	2.36447	2.41564	2.44122	2.49879	2.55849	2.52864	2.54996	2.55636	2.63098	2.67362	2.66722	2.69281	2.66509	2.72692	2.76317	2.77809	2.79302
