State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	8.12327	8.84003	9.45878	10.01013	9.80797	9.24436	7.91499	5.84435	3.86560	2.79965	2.30956	1.95424	2.24217	3.12434	4.63750	6.26705	7.77408	8.65625	9.28112	9.12184	8.77877
2	7.25359	7.87588	8.45928	9.87889	12.13469	14.40995	15.61564	16.80188	16.39351	16.16015	16.43240	14.21548	15.18781	17.28805	18.57153	18.76599	17.77422	16.31572	13.76821	11.64853	10.15114
3	5.58827	6.40246	7.84579	9.38164	11.36159	14.72936	18.44871	22.88972	26.31300	24.74014	23.74091	30.55046	34.91746	36.04622	33.40011	28.03389	22.02002	16.80183	12.60137	9.89976	8.06784
4	4.73745	5.65813	7.12656	9.94689	14.31140	20.19096	27.17185	33.36025	38.38905	46.01092	47.75905	31.82771	29.72995	29.49687	28.66359	23.43084	16.56067	10.98412	7.51115	5.54742	4.17222
5	4.93067	5.99371	7.07182	9.25067	12.89967	18.83306	27.85001	39.37753	50.26422	51.05584	55.79803	79.42606	78.52135	68.44137	50.12097	32.34341	20.15243	12.56040	8.27056	5.67706	4.13905
6	8.50699	9.90718	12.30749	14.14303	15.34318	13.27232	9.02471	5.11832	3.35338	2.72977	2.82390	2.85920	4.29468	11.10733	28.35665	46.55903	53.71291	50.48895	42.72323	35.01634	28.55667
7	1.68654	1.56902	1.37716	1.16119	0.85181	0.63484	0.51832	0.47312	0.45403	0.42892	0.41787	0.42390	0.44097	0.46809	0.54142	0.86487	1.59815	2.63378	3.64329	4.37858	4.88685
8	1.19169	1.13187	1.05952	0.95836	0.85939	0.75134	0.63671	0.54057	0.46571	0.42656	0.41184	0.41623	0.42719	0.44692	0.50267	0.63515	0.82118	1.01818	1.18135	1.32009	1.44631
9	1.06240	0.96746	0.89061	0.80622	0.73840	0.68265	0.66908	0.66155	0.66456	0.70977	0.73388	0.75498	0.77758	0.79265	0.82581	0.86951	0.99308	1.13775	1.30954	1.52051	1.78573
10	0.49791	0.89623	0.89623	0.79665	1.04560	1.39414	1.29456	1.34435	0.99581	0.99581	1.09540	1.04560	0.84644	1.04560	0.94602	0.94602	1.04560	1.19498	1.29456	0.99581	0.99581
11	0.80382	0.78291	0.76896	0.76099	0.73908	0.71717	0.70422	0.69127	0.67334	0.66238	0.65142	0.66139	0.66836	0.67234	0.67732	0.68330	0.68728	0.68031	0.69226	0.70621	0.70920
12	0.74342	0.72577	0.70296	0.67180	0.63029	0.57721	0.51650	0.44772	0.38754	0.34781	0.32022	0.32155	0.33811	0.35848	0.38238	0.40978	0.43635	0.46078	0.47990	0.49637	0.50769
13	0.84288	0.80498	0.78800	0.88731	0.98663	1.07680	1.10685	1.15651	1.08725	1.17481	1.40088	1.25713	0.89907	0.68868	0.55277	0.48613	0.46783	0.45738	0.47567	0.45346	0.51880
14	2.81677	3.09223	3.70534	4.47840	4.62057	5.34920	6.05117	7.33959	8.17485	6.79757	5.61577	5.26034	4.34511	3.72311	3.56317	3.58983	3.48320	3.26994	2.91451	2.63017	2.46134
15	3.96510	4.35277	4.70092	4.76490	4.93803	4.83077	4.49391	3.85219	3.33468	3.53980	3.30269	2.31470	2.17168	2.37116	2.73624	3.33091	3.85219	4.09495	4.06108	3.94252	3.60943
