State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.50093	3.97243	2.45537	1.07600	3.47068	2.30963	6.75189	0.71442
2	0.15781	50.37704	6.63568	1.31271	4.20857	16.43290	13.84657	0.60115
3	0.16584	76.53758	8.01654	1.43636	2.97726	23.74164	18.87758	0.73331
4	0.52664	46.90789	6.34479	1.27235	3.40031	47.75469	19.91749	0.43626
5	0.40704	68.91145	10.25369	1.77296	3.33158	55.79975	25.94915	0.24714
6	0.26081	1.01239	2.64877	2.19759	2.54641	2.82399	16.51747	0.30388
7	3.05508	0.07526	0.63240	2.26591	0.54746	0.41788	1.28115	0.31125
8	9.79854	0.46508	2.30719	2.09229	2.33254	0.41186	0.81250	0.41919
9	2.03644	1.09441	6.94057	2.28967	5.24025	0.73391	0.92221	0.20912
10	0.06163	0.54038	5.06978	0.66350	1.52324	1.09543	1.00221	0.19560
11	3.08093	0.46150	0.90078	0.58824	1.13877	0.65144	0.76092	0.95782
12	75.62386	0.14098	0.53639	0.77825	0.64294	0.32023	0.52934	1.14237
13	2.34835	0.10863	0.69129	0.65309	0.43236	1.40092	0.93440	1.29480
14	0.34536	2.99139	2.18415	1.19265	2.01363	5.61594	4.40369	0.63901
15	1.63072	2.40908	2.13721	1.41735	2.55023	3.30279	3.70178	0.56225
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
