State (Emission order)	H3k27me3	H3k4me1	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H2az	H3k09me3	H3k36me3	H3k79me2
1	0.6508081716250279	0.029690172594422092	3.439830391278354E-27	0.0011187884814574528	0.002528668855422237	0.001203307488156862	0.001953188516148261	0.012647695877724997	0.0012111704756289999	0.0020253725500800073
2	0.8339042001518503	0.33204267452433833	0.783865444665605	0.13804837723205474	0.008568326817510404	0.0020505851115199926	0.039342546331452274	0.0069289590128061174	8.256504686812109E-4	0.003631113147455236
3	0.8705804013930647	0.30778463281210694	0.9998983476709167	0.9810724622857699	0.12176850568727307	0.003726009279637263	0.2373738829370608	0.0038350659649369315	8.053413596288618E-4	0.007700338049580851
4	0.018152018976370886	0.11649642607101429	0.8522335605495189	0.7104834544513634	0.17483321616645403	0.01902559955208858	0.21338773638543598	0.0020602589881940562	2.481201034476489E-4	0.006256882116481583
5	0.005720748653248067	0.0909782569054023	0.9605209676856179	0.9906003540528943	0.9700119432587577	0.5265409135428585	0.28358789510326743	0.002535558305269524	0.004332230744519754	0.2276664053916048
6	0.009110077908031835	0.2242399736293435	0.836073289678133	0.49133956627983927	0.1076920899709653	0.07681041820958899	0.016605289846523676	0.0065152586786463695	0.05500910669430519	0.9065425193578718
7	0.0018489437260822378	0.03108784926824118	0.009893542069526104	0.0010856846512635088	0.0036666291510709767	0.016138544423060515	7.986517160245639E-4	0.013573672071679824	0.029552901231299774	0.7112987586819508
8	0.0016263731681683865	0.0049751280782197385	5.571353733088037E-4	2.529680566464294E-4	0.0021436412850778562	0.007479781801340635	2.8571773932873024E-4	0.00612076990893167	0.018238621402500415	0.024433340665725126
9	0.0018531446475798857	0.0069247298692556945	0.0010877505266422038	4.6986009063478804E-4	0.00509555652082822	0.01855468975174091	1.0793312593441662E-4	0.008628484362397335	0.4197562617861231	0.023498025076930096
10	0.3618574844548939	0.15357819446152923	0.14348219626362707	0.15411309642690177	0.30006074725086135	0.2819607757824821	0.25432874373352704	0.9763265046700343	0.6674693966014775	0.2447362653412529
11	0.008022073977341837	0.0014372883527616932	3.4130372812877504E-4	5.975820757207579E-4	8.612488218827704E-4	0.0018554412259932916	0.0016002555317223602	0.2623407793401944	0.005720654638418898	0.001515696580664651
12	0.0018709048122809726	0.0018109891611184088	1.6970560529582643E-4	1.1985811833759351E-4	7.376226298708704E-4	0.0020828165560691013	0.006020910276734957	0.006872773090393155	5.709989198480058E-4	3.917838092624449E-4
13	0.006226441521133012	0.062407282489469744	0.023217087688375573	0.002471955861458377	0.009354866665452892	0.028549560812440603	0.4688326146766447	0.022422283011231718	0.0031428047012971127	0.0015342953029048986
14	0.008721384729137307	0.4774600641229055	0.6956816875773227	0.12819535038869753	0.11538576682092966	0.23349439935408492	0.29283520342996705	0.009099909938583858	0.00559433671752987	0.009109684810778344
15	0.010891907080191584	0.1718548953448168	0.054953077393390615	0.00433504309708002	0.01142324109194953	0.02865796014006136	0.009808344555276429	0.005097385696324339	0.0032379670027676034	0.009203653068164522
