15	10	E	-6992375.613694261	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	1.2277890050022663E-248
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.04334529321885768
probinit	9	5.193834284379806E-252
probinit	10	0.0
probinit	11	2.494710386849961E-287
probinit	12	0.9566547067811423
probinit	13	9.728063308606226E-137
probinit	14	0.0
probinit	15	2.4391375641333488E-178
transitionprobs	1	1	0.8519690909386315
transitionprobs	1	2	0.06430720654183107
transitionprobs	1	3	0.009432591741548141
transitionprobs	1	4	0.0035574815318063667
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	6.560143180538073E-5
transitionprobs	1	8	0.0014916255025018872
transitionprobs	1	9	8.255978080795018E-5
transitionprobs	1	10	7.817829545021316E-5
transitionprobs	1	11	7.810520332293678E-4
transitionprobs	1	12	0.0543794716979501
transitionprobs	1	13	0.0
transitionprobs	1	14	3.087071213464299E-6
transitionprobs	1	15	0.013852053433224322
transitionprobs	2	1	0.19648117209930663
transitionprobs	2	2	0.5709952912544141
transitionprobs	2	3	0.19285460966698942
transitionprobs	2	4	0.015603557360190205
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	5.770286859311251E-4
transitionprobs	2	8	6.278463920240299E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.007104334606572725
transitionprobs	2	13	2.9982845190186324E-4
transitionprobs	2	14	0.0016684563008373206
transitionprobs	2	15	0.013787875181832634
transitionprobs	3	1	0.029557558639817027
transitionprobs	3	2	0.19443061210030377
transitionprobs	3	3	0.6676632754521756
transitionprobs	3	4	0.10136858347473858
transitionprobs	3	5	0.0
transitionprobs	3	6	9.61106947106974E-4
transitionprobs	3	7	6.445006965421353E-5
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0025231343968517054
transitionprobs	3	13	5.011725837551072E-4
transitionprobs	3	14	1.1223609006114421E-5
transitionprobs	3	15	0.002918882726590961
transitionprobs	4	1	0.0038813108805768656
transitionprobs	4	2	0.0050768947112710145
transitionprobs	4	3	0.03386465591225317
transitionprobs	4	4	0.6453234231588433
transitionprobs	4	5	0.13125622371204554
transitionprobs	4	6	0.008025288317389388
transitionprobs	4	7	0.001069723712725084
transitionprobs	4	8	0.02081675200740562
transitionprobs	4	9	5.035351704112294E-4
transitionprobs	4	10	2.2053613989547134E-4
transitionprobs	4	11	7.06154619790667E-4
transitionprobs	4	12	0.04852225393726163
transitionprobs	4	13	0.013967502807224797
transitionprobs	4	14	0.027356776598352485
transitionprobs	4	15	0.059408968314553716
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.16770186256311057
transitionprobs	5	5	0.7403643627975252
transitionprobs	5	6	0.06235168535833952
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	1.365138270972742E-4
transitionprobs	5	11	4.673481032201966E-5
transitionprobs	5	12	0.0
transitionprobs	5	13	6.520188784202736E-4
transitionprobs	5	14	0.017037971094248427
transitionprobs	5	15	0.011708850670936919
transitionprobs	6	1	0.0
transitionprobs	6	2	6.209234013534262E-5
transitionprobs	6	3	7.255638086482995E-4
transitionprobs	6	4	0.015912021202553923
transitionprobs	6	5	0.08825482484321812
transitionprobs	6	6	0.7106797739308242
transitionprobs	6	7	0.16376624813041712
transitionprobs	6	8	0.004092530077067888
transitionprobs	6	9	0.005790753238401897
transitionprobs	6	10	6.307754685567255E-5
transitionprobs	6	11	0.0
transitionprobs	6	12	0.0
transitionprobs	6	13	0.0
transitionprobs	6	14	0.004786285110632968
transitionprobs	6	15	0.005866829771244751
transitionprobs	7	1	2.7807533390765323E-6
transitionprobs	7	2	2.877631272124525E-5
transitionprobs	7	3	1.489226959165469E-5
transitionprobs	7	4	2.595896392920182E-4
transitionprobs	7	5	0.0
transitionprobs	7	6	0.014471853313412017
transitionprobs	7	7	0.955813739838603
